예보시각,전체 도시 이름,시도,시군구,시군구코드,관광기후지수,관광기후지수등급
2021-02-18 00:00,대전 대덕구,대전,대덕구,3023000000,-0.61,나쁨
2021-02-17 00:00,대전 대덕구,대전,대덕구,3023000000,-0.93,나쁨
2021-02-16 00:00,대전 대덕구,대전,대덕구,3023000000,-0.79,나쁨
2021-02-15 00:00,대전 대덕구,대전,대덕구,3023000000,-0.62,나쁨
2021-02-14 00:00,대전 대덕구,대전,대덕구,3023000000,-0.44,나쁨
2021-02-13 00:00,대전 대덕구,대전,대덕구,3023000000,0.11,좋음
2021-02-12 00:00,대전 대덕구,대전,대덕구,3023000000,-0.14,보통
2021-02-11 00:00,대전 대덕구,대전,대덕구,3023000000,0.03,보통
2021-02-10 00:00,대전 대덕구,대전,대덕구,3023000000,-0.51,나쁨
2021-02-09 00:00,대전 대덕구,대전,대덕구,3023000000,-0.18,보통
2021-02-08 00:00,대전 대덕구,대전,대덕구,3023000000,-0.36,나쁨
2021-02-07 00:00,대전 대덕구,대전,대덕구,3023000000,-0.09,보통
2021-02-06 00:00,대전 대덕구,대전,대덕구,3023000000,-0.36,나쁨
2021-02-05 00:00,대전 대덕구,대전,대덕구,3023000000,-0.39,나쁨
2021-02-04 00:00,대전 대덕구,대전,대덕구,3023000000,-0.22,보통
2021-02-03 00:00,대전 대덕구,대전,대덕구,3023000000,-0.18,보통
2021-02-02 00:00,대전 대덕구,대전,대덕구,3023000000,-0.44,나쁨
2021-02-01 00:00,대전 대덕구,대전,대덕구,3023000000,-0.62,나쁨
2021-01-31 00:00,대전 대덕구,대전,대덕구,3023000000,-0.37,나쁨
2021-01-30 00:00,대전 대덕구,대전,대덕구,3023000000,-0.34,나쁨
2021-01-29 00:00,대전 대덕구,대전,대덕구,3023000000,-0.53,나쁨
2021-01-28 00:00,대전 대덕구,대전,대덕구,3023000000,-1.1,나쁨
2021-01-27 00:00,대전 대덕구,대전,대덕구,3023000000,-0.37,나쁨
2021-01-26 00:00,대전 대덕구,대전,대덕구,3023000000,-0.84,나쁨
2021-01-25 00:00,대전 대덕구,대전,대덕구,3023000000,-0.26,나쁨
2021-01-24 00:00,대전 대덕구,대전,대덕구,3023000000,-0.26,나쁨
2021-01-23 00:00,대전 대덕구,대전,대덕구,3023000000,-0.53,나쁨
2021-01-22 00:00,대전 대덕구,대전,대덕구,3023000000,-0.5,나쁨
2021-01-21 00:00,대전 대덕구,대전,대덕구,3023000000,-0.35,나쁨
2021-01-20 00:00,대전 대덕구,대전,대덕구,3023000000,-0.14,보통
2021-01-19 00:00,대전 대덕구,대전,대덕구,3023000000,-0.18,보통
2021-01-18 00:00,대전 대덕구,대전,대덕구,3023000000,-0.98,나쁨
2021-01-17 00:00,대전 대덕구,대전,대덕구,3023000000,-0.47,나쁨
2021-01-16 00:00,대전 대덕구,대전,대덕구,3023000000,-0.44,나쁨
2021-01-15 00:00,대전 대덕구,대전,대덕구,3023000000,-0.75,나쁨
2021-01-14 00:00,대전 대덕구,대전,대덕구,3023000000,-0.03,보통
2021-01-13 00:00,대전 대덕구,대전,대덕구,3023000000,-0.34,나쁨
2021-01-12 00:00,대전 대덕구,대전,대덕구,3023000000,-0.58,나쁨
2021-01-11 00:00,대전 대덕구,대전,대덕구,3023000000,-0.52,나쁨
2021-01-10 00:00,대전 대덕구,대전,대덕구,3023000000,-0.66,나쁨
2021-01-09 00:00,대전 대덕구,대전,대덕구,3023000000,-0.49,나쁨
2021-01-08 00:00,대전 대덕구,대전,대덕구,3023000000,-0.75,나쁨
2021-01-07 00:00,대전 대덕구,대전,대덕구,3023000000,-1.24,나쁨
2021-01-06 00:00,대전 대덕구,대전,대덕구,3023000000,-0.58,나쁨
2021-01-05 00:00,대전 대덕구,대전,대덕구,3023000000,-0.72,나쁨
2021-01-04 00:00,대전 대덕구,대전,대덕구,3023000000,-0.2,보통
2021-01-03 00:00,대전 대덕구,대전,대덕구,3023000000,-0.66,나쁨
2021-01-02 00:00,대전 대덕구,대전,대덕구,3023000000,-0.49,나쁨
2021-01-01 00:00,대전 대덕구,대전,대덕구,3023000000,-0.65,나쁨
2021-06-20 00:00,대전 동구,대전,동구,3011000000,0.28,좋음
2021-06-19 00:00,대전 동구,대전,동구,3011000000,0.41,매우좋음
2021-06-18 00:00,대전 동구,대전,동구,3011000000,-0.16,보통
2021-06-17 00:00,대전 동구,대전,동구,3011000000,0.16,좋음
2021-06-16 00:00,대전 동구,대전,동구,3011000000,-0.02,보통
2021-06-15 00:00,대전 동구,대전,동구,3011000000,-0.35,나쁨
2021-06-14 00:00,대전 동구,대전,동구,3011000000,-0.37,나쁨
2021-06-13 00:00,대전 동구,대전,동구,3011000000,0.19,좋음
2021-06-12 00:00,대전 동구,대전,동구,3011000000,0.31,좋음
2021-06-11 00:00,대전 동구,대전,동구,3011000000,-0.3,나쁨
2021-06-10 00:00,대전 동구,대전,동구,3011000000,0.09,보통
2021-06-09 00:00,대전 동구,대전,동구,3011000000,0.15,좋음
2021-06-08 00:00,대전 동구,대전,동구,3011000000,0.24,좋음
2021-06-07 00:00,대전 동구,대전,동구,3011000000,0.3,좋음
2021-06-06 00:00,대전 동구,대전,동구,3011000000,-0.14,보통
2021-06-05 00:00,대전 동구,대전,동구,3011000000,0.4,매우좋음
2021-06-04 00:00,대전 동구,대전,동구,3011000000,0.46,매우좋음
2021-06-03 00:00,대전 동구,대전,동구,3011000000,-0.49,나쁨
2021-06-02 00:00,대전 동구,대전,동구,3011000000,0.45,매우좋음
2021-06-01 00:00,대전 동구,대전,동구,3011000000,0.28,좋음
2021-05-31 00:00,대전 동구,대전,동구,3011000000,0.16,좋음
2021-05-30 00:00,대전 동구,대전,동구,3011000000,0.45,매우좋음
2021-05-29 00:00,대전 동구,대전,동구,3011000000,0.44,매우좋음
2021-05-28 00:00,대전 동구,대전,동구,3011000000,-0.84,나쁨
2021-05-27 00:00,대전 동구,대전,동구,3011000000,-0.24,보통
2021-05-26 00:00,대전 동구,대전,동구,3011000000,0.27,좋음
2021-05-25 00:00,대전 동구,대전,동구,3011000000,0.09,보통
2021-05-24 00:00,대전 동구,대전,동구,3011000000,0.4,매우좋음
2021-05-23 00:00,대전 동구,대전,동구,3011000000,0.28,좋음
2021-05-22 00:00,대전 동구,대전,동구,3011000000,0.52,매우좋음
2021-05-21 00:00,대전 동구,대전,동구,3011000000,-0.46,나쁨
2021-05-20 00:00,대전 동구,대전,동구,3011000000,-0.44,나쁨
2021-05-19 00:00,대전 동구,대전,동구,3011000000,0.54,매우좋음
2021-05-18 00:00,대전 동구,대전,동구,3011000000,0.29,좋음
2021-05-17 00:00,대전 동구,대전,동구,3011000000,-0.51,나쁨
2021-05-16 00:00,대전 동구,대전,동구,3011000000,-0.35,나쁨
2021-05-15 00:00,대전 동구,대전,동구,3011000000,-0.23,보통
2021-05-14 00:00,대전 동구,대전,동구,3011000000,0.3,좋음
2021-05-13 00:00,대전 동구,대전,동구,3011000000,0.49,매우좋음
2021-05-12 00:00,대전 동구,대전,동구,3011000000,0.04,보통
2021-05-11 00:00,대전 동구,대전,동구,3011000000,-0.4,나쁨
2021-05-10 00:00,대전 동구,대전,동구,3011000000,-0.85,나쁨
2021-05-09 00:00,대전 동구,대전,동구,3011000000,0.34,좋음
2021-05-08 00:00,대전 동구,대전,동구,3011000000,0.32,좋음
2021-05-07 00:00,대전 동구,대전,동구,3011000000,-0.43,나쁨
2021-05-06 00:00,대전 동구,대전,동구,3011000000,0.36,매우좋음
2021-05-05 00:00,대전 동구,대전,동구,3011000000,0.11,좋음
2021-05-04 00:00,대전 동구,대전,동구,3011000000,-0.36,나쁨
2021-05-03 00:00,대전 동구,대전,동구,3011000000,0.36,매우좋음
2021-05-02 00:00,대전 동구,대전,동구,3011000000,-0.01,보통
2021-05-01 00:00,대전 동구,대전,동구,3011000000,-0.77,나쁨
2021-04-30 00:00,대전 동구,대전,동구,3011000000,-0.39,나쁨
2021-04-29 00:00,대전 동구,대전,동구,3011000000,-0.06,보통
2021-04-28 00:00,대전 동구,대전,동구,3011000000,0.15,좋음
2021-04-27 00:00,대전 동구,대전,동구,3011000000,-0.07,보통
2021-04-26 00:00,대전 동구,대전,동구,3011000000,0.4,매우좋음
2021-04-25 00:00,대전 동구,대전,동구,3011000000,0.34,좋음
2021-04-24 00:00,대전 동구,대전,동구,3011000000,0.02,보통
2021-04-23 00:00,대전 동구,대전,동구,3011000000,-0.39,나쁨
2021-04-22 00:00,대전 동구,대전,동구,3011000000,0.04,보통
2021-04-21 00:00,대전 동구,대전,동구,3011000000,0.28,좋음
2021-04-20 00:00,대전 동구,대전,동구,3011000000,0.38,매우좋음
2021-04-19 00:00,대전 동구,대전,동구,3011000000,0.26,좋음
2021-04-18 00:00,대전 동구,대전,동구,3011000000,-0.06,보통
2021-04-17 00:00,대전 동구,대전,동구,3011000000,-0.15,보통
2021-04-16 00:00,대전 동구,대전,동구,3011000000,-0.52,나쁨
2021-04-15 00:00,대전 동구,대전,동구,3011000000,-0.05,보통
2021-04-14 00:00,대전 동구,대전,동구,3011000000,-0.01,보통
2021-04-13 00:00,대전 동구,대전,동구,3011000000,-0.41,나쁨
2021-04-12 00:00,대전 동구,대전,동구,3011000000,-0.77,나쁨
2021-04-11 00:00,대전 동구,대전,동구,3011000000,0.36,매우좋음
2021-04-10 00:00,대전 동구,대전,동구,3011000000,0.18,좋음
2021-04-09 00:00,대전 동구,대전,동구,3011000000,0.02,보통
2021-04-08 00:00,대전 동구,대전,동구,3011000000,0.08,보통
2021-04-07 00:00,대전 동구,대전,동구,3011000000,0.28,좋음
2021-04-06 00:00,대전 동구,대전,동구,3011000000,0.1,좋음
2021-04-05 00:00,대전 동구,대전,동구,3011000000,0.14,좋음
2021-04-04 00:00,대전 동구,대전,동구,3011000000,-0.59,나쁨
2021-04-03 00:00,대전 동구,대전,동구,3011000000,-0.89,나쁨
2021-04-02 00:00,대전 동구,대전,동구,3011000000,-0.14,보통
2021-04-01 00:00,대전 동구,대전,동구,3011000000,-0.1,보통
2021-03-31 00:00,대전 동구,대전,동구,3011000000,0.36,매우좋음
2021-03-30 00:00,대전 동구,대전,동구,3011000000,0.14,좋음
2021-03-29 00:00,대전 동구,대전,동구,3011000000,-0.17,보통
2021-03-28 00:00,대전 동구,대전,동구,3011000000,-0.71,나쁨
2021-03-27 00:00,대전 동구,대전,동구,3011000000,-0.77,나쁨
2021-03-26 00:00,대전 동구,대전,동구,3011000000,0.17,좋음
2021-03-25 00:00,대전 동구,대전,동구,3011000000,0.29,좋음
2021-03-24 00:00,대전 동구,대전,동구,3011000000,0.0,보통
2021-03-23 00:00,대전 동구,대전,동구,3011000000,-0.03,보통
2021-03-22 00:00,대전 동구,대전,동구,3011000000,-0.11,보통
2021-03-21 00:00,대전 동구,대전,동구,3011000000,-0.53,나쁨
2021-03-20 00:00,대전 동구,대전,동구,3011000000,-0.76,나쁨
2021-03-19 00:00,대전 동구,대전,동구,3011000000,-0.23,보통
2021-03-18 00:00,대전 동구,대전,동구,3011000000,0.23,좋음
2021-03-17 00:00,대전 동구,대전,동구,3011000000,0.11,좋음
2021-03-16 00:00,대전 동구,대전,동구,3011000000,-0.01,보통
2021-03-15 00:00,대전 동구,대전,동구,3011000000,-0.17,보통
2021-03-14 00:00,대전 동구,대전,동구,3011000000,-0.03,보통
2021-03-13 00:00,대전 동구,대전,동구,3011000000,-0.31,나쁨
2021-03-12 00:00,대전 동구,대전,동구,3011000000,-0.76,나쁨
2021-03-11 00:00,대전 동구,대전,동구,3011000000,-0.27,나쁨
2021-03-10 00:00,대전 동구,대전,동구,3011000000,0.05,보통
2021-03-09 00:00,대전 동구,대전,동구,3011000000,-0.2,보통
2021-03-08 00:00,대전 동구,대전,동구,3011000000,0.11,좋음
2021-03-07 00:00,대전 동구,대전,동구,3011000000,-0.35,나쁨
2021-03-06 00:00,대전 동구,대전,동구,3011000000,-0.49,나쁨
2021-03-05 00:00,대전 동구,대전,동구,3011000000,-0.03,보통
2021-03-04 00:00,대전 동구,대전,동구,3011000000,-0.67,나쁨
2021-03-03 00:00,대전 동구,대전,동구,3011000000,-0.05,보통
2021-03-02 00:00,대전 동구,대전,동구,3011000000,-0.28,나쁨
2021-03-01 00:00,대전 동구,대전,동구,3011000000,-0.86,나쁨
2021-02-28 00:00,대전 동구,대전,동구,3011000000,-0.37,나쁨
2021-02-27 00:00,대전 동구,대전,동구,3011000000,-0.36,나쁨
2021-02-26 00:00,대전 동구,대전,동구,3011000000,-0.07,보통
2021-02-25 00:00,대전 동구,대전,동구,3011000000,-0.65,나쁨
2021-02-24 00:00,대전 동구,대전,동구,3011000000,-0.28,나쁨
2021-02-23 00:00,대전 동구,대전,동구,3011000000,-0.12,보통
2021-02-22 00:00,대전 동구,대전,동구,3011000000,-0.07,보통
2021-02-21 00:00,대전 동구,대전,동구,3011000000,0.11,좋음
2021-02-20 00:00,대전 동구,대전,동구,3011000000,-0.07,보통
2021-02-19 00:00,대전 동구,대전,동구,3011000000,-0.21,보통
2021-02-18 00:00,대전 동구,대전,동구,3011000000,-0.61,나쁨
2021-02-17 00:00,대전 동구,대전,동구,3011000000,-0.93,나쁨
2021-02-16 00:00,대전 동구,대전,동구,3011000000,-0.79,나쁨
2021-02-15 00:00,대전 동구,대전,동구,3011000000,-0.62,나쁨
2021-02-14 00:00,대전 동구,대전,동구,3011000000,-0.44,나쁨
2021-02-13 00:00,대전 동구,대전,동구,3011000000,0.11,좋음
2021-02-12 00:00,대전 동구,대전,동구,3011000000,-0.14,보통
2021-02-11 00:00,대전 동구,대전,동구,3011000000,0.03,보통
2021-02-10 00:00,대전 동구,대전,동구,3011000000,-0.51,나쁨
2021-02-09 00:00,대전 동구,대전,동구,3011000000,-0.18,보통
2021-02-08 00:00,대전 동구,대전,동구,3011000000,-0.36,나쁨
2021-02-07 00:00,대전 동구,대전,동구,3011000000,-0.09,보통
2021-02-06 00:00,대전 동구,대전,동구,3011000000,-0.36,나쁨
2021-02-05 00:00,대전 동구,대전,동구,3011000000,-0.39,나쁨
2021-02-04 00:00,대전 동구,대전,동구,3011000000,-0.22,보통
2021-02-03 00:00,대전 동구,대전,동구,3011000000,-0.18,보통
2021-02-02 00:00,대전 동구,대전,동구,3011000000,-0.44,나쁨
2021-02-01 00:00,대전 동구,대전,동구,3011000000,-0.62,나쁨
2021-01-31 00:00,대전 동구,대전,동구,3011000000,-0.37,나쁨
2021-01-30 00:00,대전 동구,대전,동구,3011000000,-0.34,나쁨
2021-01-29 00:00,대전 동구,대전,동구,3011000000,-0.53,나쁨
2021-01-28 00:00,대전 동구,대전,동구,3011000000,-1.1,나쁨
2021-01-27 00:00,대전 동구,대전,동구,3011000000,-0.37,나쁨
2021-01-26 00:00,대전 동구,대전,동구,3011000000,-0.84,나쁨
2021-01-25 00:00,대전 동구,대전,동구,3011000000,-0.26,나쁨
2021-01-24 00:00,대전 동구,대전,동구,3011000000,-0.26,나쁨
2021-01-23 00:00,대전 동구,대전,동구,3011000000,-0.53,나쁨
2021-01-22 00:00,대전 동구,대전,동구,3011000000,-0.5,나쁨
2021-01-21 00:00,대전 동구,대전,동구,3011000000,-0.35,나쁨
2021-01-20 00:00,대전 동구,대전,동구,3011000000,-0.14,보통
2021-01-19 00:00,대전 동구,대전,동구,3011000000,-0.18,보통
2021-01-18 00:00,대전 동구,대전,동구,3011000000,-0.98,나쁨
2021-01-17 00:00,대전 동구,대전,동구,3011000000,-0.47,나쁨
2021-01-16 00:00,대전 동구,대전,동구,3011000000,-0.44,나쁨
2021-01-15 00:00,대전 동구,대전,동구,3011000000,-0.75,나쁨
2021-01-14 00:00,대전 동구,대전,동구,3011000000,-0.03,보통
2021-01-13 00:00,대전 동구,대전,동구,3011000000,-0.34,나쁨
2021-01-12 00:00,대전 동구,대전,동구,3011000000,-0.58,나쁨
2021-01-11 00:00,대전 동구,대전,동구,3011000000,-0.52,나쁨
2021-01-10 00:00,대전 동구,대전,동구,3011000000,-0.66,나쁨
2021-01-09 00:00,대전 동구,대전,동구,3011000000,-0.49,나쁨
2021-01-08 00:00,대전 동구,대전,동구,3011000000,-0.75,나쁨
2021-01-07 00:00,대전 동구,대전,동구,3011000000,-1.24,나쁨
2021-01-06 00:00,대전 동구,대전,동구,3011000000,-0.58,나쁨
2021-01-05 00:00,대전 동구,대전,동구,3011000000,-0.72,나쁨
2021-01-04 00:00,대전 동구,대전,동구,3011000000,-0.2,보통
2021-01-03 00:00,대전 동구,대전,동구,3011000000,-0.66,나쁨
2021-01-02 00:00,대전 동구,대전,동구,3011000000,-0.49,나쁨
2021-01-01 00:00,대전 동구,대전,동구,3011000000,-0.65,나쁨
2021-06-20 00:00,대전 서구,대전,서구,3017000000,0.28,좋음
2021-06-19 00:00,대전 서구,대전,서구,3017000000,0.41,매우좋음
2021-06-18 00:00,대전 서구,대전,서구,3017000000,-0.16,보통
2021-06-17 00:00,대전 서구,대전,서구,3017000000,0.16,좋음
2021-06-16 00:00,대전 서구,대전,서구,3017000000,-0.02,보통
2021-06-15 00:00,대전 서구,대전,서구,3017000000,-0.29,나쁨
2021-06-14 00:00,대전 서구,대전,서구,3017000000,-0.45,나쁨
2021-06-13 00:00,대전 서구,대전,서구,3017000000,0.19,좋음
2021-06-12 00:00,대전 서구,대전,서구,3017000000,0.28,좋음
2021-06-11 00:00,대전 서구,대전,서구,3017000000,-0.35,나쁨
2021-06-10 00:00,대전 서구,대전,서구,3017000000,0.05,보통
2021-06-09 00:00,대전 서구,대전,서구,3017000000,0.15,좋음
2021-06-08 00:00,대전 서구,대전,서구,3017000000,0.19,좋음
2021-06-07 00:00,대전 서구,대전,서구,3017000000,0.13,좋음
2021-06-06 00:00,대전 서구,대전,서구,3017000000,0.12,좋음
2021-06-05 00:00,대전 서구,대전,서구,3017000000,0.4,매우좋음
2021-06-04 00:00,대전 서구,대전,서구,3017000000,0.46,매우좋음
2021-06-03 00:00,대전 서구,대전,서구,3017000000,-0.3,나쁨
2021-06-02 00:00,대전 서구,대전,서구,3017000000,0.45,매우좋음
2021-06-01 00:00,대전 서구,대전,서구,3017000000,0.22,좋음
2021-05-31 00:00,대전 서구,대전,서구,3017000000,0.16,좋음
2021-05-30 00:00,대전 서구,대전,서구,3017000000,0.41,매우좋음
2021-05-29 00:00,대전 서구,대전,서구,3017000000,0.27,좋음
2021-05-28 00:00,대전 서구,대전,서구,3017000000,-0.8,나쁨
2021-05-27 00:00,대전 서구,대전,서구,3017000000,-0.2,보통
2021-05-26 00:00,대전 서구,대전,서구,3017000000,0.27,좋음
2021-05-25 00:00,대전 서구,대전,서구,3017000000,0.05,보통
2021-05-24 00:00,대전 서구,대전,서구,3017000000,0.4,매우좋음
2021-05-23 00:00,대전 서구,대전,서구,3017000000,0.28,좋음
2021-05-22 00:00,대전 서구,대전,서구,3017000000,0.52,매우좋음
2021-05-21 00:00,대전 서구,대전,서구,3017000000,-0.41,나쁨
2021-05-20 00:00,대전 서구,대전,서구,3017000000,-0.44,나쁨
2021-05-19 00:00,대전 서구,대전,서구,3017000000,0.54,매우좋음
2021-05-18 00:00,대전 서구,대전,서구,3017000000,0.29,좋음
2021-05-17 00:00,대전 서구,대전,서구,3017000000,-0.51,나쁨
2021-05-16 00:00,대전 서구,대전,서구,3017000000,-0.35,나쁨
2021-05-15 00:00,대전 서구,대전,서구,3017000000,-0.23,보통
2021-05-14 00:00,대전 서구,대전,서구,3017000000,0.26,좋음
2021-05-13 00:00,대전 서구,대전,서구,3017000000,0.49,매우좋음
2021-05-12 00:00,대전 서구,대전,서구,3017000000,0.04,보통
2021-05-11 00:00,대전 서구,대전,서구,3017000000,-0.14,보통
2021-05-10 00:00,대전 서구,대전,서구,3017000000,-0.85,나쁨
2021-05-09 00:00,대전 서구,대전,서구,3017000000,0.34,좋음
2021-05-08 00:00,대전 서구,대전,서구,3017000000,0.32,좋음
2021-05-07 00:00,대전 서구,대전,서구,3017000000,-0.43,나쁨
2021-05-06 00:00,대전 서구,대전,서구,3017000000,0.36,매우좋음
2021-05-05 00:00,대전 서구,대전,서구,3017000000,0.15,좋음
2021-05-04 00:00,대전 서구,대전,서구,3017000000,-0.32,나쁨
2021-05-03 00:00,대전 서구,대전,서구,3017000000,0.36,매우좋음
2021-05-02 00:00,대전 서구,대전,서구,3017000000,-0.01,보통
2021-05-01 00:00,대전 서구,대전,서구,3017000000,-0.77,나쁨
2021-04-30 00:00,대전 서구,대전,서구,3017000000,-0.34,나쁨
2021-04-29 00:00,대전 서구,대전,서구,3017000000,-0.06,보통
2021-04-28 00:00,대전 서구,대전,서구,3017000000,0.15,좋음
2021-04-27 00:00,대전 서구,대전,서구,3017000000,-0.07,보통
2021-04-26 00:00,대전 서구,대전,서구,3017000000,0.4,매우좋음
2021-04-25 00:00,대전 서구,대전,서구,3017000000,0.38,매우좋음
2021-04-24 00:00,대전 서구,대전,서구,3017000000,0.02,보통
2021-04-23 00:00,대전 서구,대전,서구,3017000000,-0.39,나쁨
2021-04-22 00:00,대전 서구,대전,서구,3017000000,0.04,보통
2021-04-21 00:00,대전 서구,대전,서구,3017000000,0.28,좋음
2021-04-20 00:00,대전 서구,대전,서구,3017000000,0.46,매우좋음
2021-04-19 00:00,대전 서구,대전,서구,3017000000,0.26,좋음
2021-04-18 00:00,대전 서구,대전,서구,3017000000,-0.06,보통
2021-04-17 00:00,대전 서구,대전,서구,3017000000,-0.15,보통
2021-04-16 00:00,대전 서구,대전,서구,3017000000,-0.52,나쁨
2021-04-15 00:00,대전 서구,대전,서구,3017000000,-0.05,보통
2021-04-14 00:00,대전 서구,대전,서구,3017000000,-0.01,보통
2021-04-13 00:00,대전 서구,대전,서구,3017000000,-0.41,나쁨
2021-04-12 00:00,대전 서구,대전,서구,3017000000,-0.77,나쁨
2021-04-11 00:00,대전 서구,대전,서구,3017000000,0.36,매우좋음
2021-04-10 00:00,대전 서구,대전,서구,3017000000,0.24,좋음
2021-04-09 00:00,대전 서구,대전,서구,3017000000,0.02,보통
2021-04-08 00:00,대전 서구,대전,서구,3017000000,0.08,보통
2021-04-07 00:00,대전 서구,대전,서구,3017000000,0.28,좋음
2021-04-06 00:00,대전 서구,대전,서구,3017000000,0.1,좋음
2021-04-05 00:00,대전 서구,대전,서구,3017000000,0.14,좋음
2021-04-04 00:00,대전 서구,대전,서구,3017000000,-0.59,나쁨
2021-04-03 00:00,대전 서구,대전,서구,3017000000,-0.89,나쁨
2021-04-02 00:00,대전 서구,대전,서구,3017000000,-0.14,보통
2021-04-01 00:00,대전 서구,대전,서구,3017000000,-0.27,나쁨
2021-03-31 00:00,대전 서구,대전,서구,3017000000,0.36,매우좋음
2021-03-30 00:00,대전 서구,대전,서구,3017000000,0.18,좋음
2021-03-29 00:00,대전 서구,대전,서구,3017000000,-0.17,보통
2021-03-28 00:00,대전 서구,대전,서구,3017000000,-0.71,나쁨
2021-03-27 00:00,대전 서구,대전,서구,3017000000,-0.77,나쁨
2021-03-26 00:00,대전 서구,대전,서구,3017000000,0.17,좋음
2021-03-25 00:00,대전 서구,대전,서구,3017000000,0.29,좋음
2021-03-24 00:00,대전 서구,대전,서구,3017000000,0.0,보통
2021-03-23 00:00,대전 서구,대전,서구,3017000000,0.02,보통
2021-03-22 00:00,대전 서구,대전,서구,3017000000,-0.11,보통
2021-03-21 00:00,대전 서구,대전,서구,3017000000,-0.53,나쁨
2021-03-20 00:00,대전 서구,대전,서구,3017000000,-0.69,나쁨
2021-03-19 00:00,대전 서구,대전,서구,3017000000,-0.19,보통
2021-03-18 00:00,대전 서구,대전,서구,3017000000,0.23,좋음
2021-03-17 00:00,대전 서구,대전,서구,3017000000,0.11,좋음
2021-03-16 00:00,대전 서구,대전,서구,3017000000,-0.01,보통
2021-03-15 00:00,대전 서구,대전,서구,3017000000,-0.17,보통
2021-03-14 00:00,대전 서구,대전,서구,3017000000,0.05,보통
2021-03-13 00:00,대전 서구,대전,서구,3017000000,-0.31,나쁨
2021-03-12 00:00,대전 서구,대전,서구,3017000000,-0.76,나쁨
2021-03-11 00:00,대전 서구,대전,서구,3017000000,-0.27,나쁨
2021-03-10 00:00,대전 서구,대전,서구,3017000000,0.1,보통
2021-03-09 00:00,대전 서구,대전,서구,3017000000,-0.2,보통
2021-03-08 00:00,대전 서구,대전,서구,3017000000,0.11,좋음
2021-03-07 00:00,대전 서구,대전,서구,3017000000,-0.35,나쁨
2021-03-06 00:00,대전 서구,대전,서구,3017000000,-0.49,나쁨
2021-03-05 00:00,대전 서구,대전,서구,3017000000,-0.03,보통
2021-03-04 00:00,대전 서구,대전,서구,3017000000,-0.67,나쁨
2021-03-03 00:00,대전 서구,대전,서구,3017000000,-0.05,보통
2021-03-02 00:00,대전 서구,대전,서구,3017000000,-0.28,나쁨
2021-03-01 00:00,대전 서구,대전,서구,3017000000,-0.86,나쁨
2021-02-28 00:00,대전 서구,대전,서구,3017000000,-0.37,나쁨
2021-02-27 00:00,대전 서구,대전,서구,3017000000,-0.32,나쁨
2021-02-26 00:00,대전 서구,대전,서구,3017000000,-0.07,보통
2021-02-25 00:00,대전 서구,대전,서구,3017000000,-0.65,나쁨
2021-02-24 00:00,대전 서구,대전,서구,3017000000,-0.28,나쁨
2021-02-23 00:00,대전 서구,대전,서구,3017000000,-0.12,보통
2021-02-22 00:00,대전 서구,대전,서구,3017000000,-0.07,보통
2021-02-21 00:00,대전 서구,대전,서구,3017000000,0.11,좋음
2021-02-20 00:00,대전 서구,대전,서구,3017000000,-0.07,보통
2021-02-19 00:00,대전 서구,대전,서구,3017000000,-0.21,보통
2021-02-18 00:00,대전 서구,대전,서구,3017000000,-0.61,나쁨
2021-02-17 00:00,대전 서구,대전,서구,3017000000,-0.93,나쁨
2021-02-16 00:00,대전 서구,대전,서구,3017000000,-0.96,나쁨
2021-02-15 00:00,대전 서구,대전,서구,3017000000,-0.62,나쁨
2021-02-14 00:00,대전 서구,대전,서구,3017000000,-0.44,나쁨
2021-02-13 00:00,대전 서구,대전,서구,3017000000,0.11,좋음
2021-02-12 00:00,대전 서구,대전,서구,3017000000,0.03,보통
2021-02-11 00:00,대전 서구,대전,서구,3017000000,0.03,보통
2021-02-10 00:00,대전 서구,대전,서구,3017000000,-0.51,나쁨
2021-02-09 00:00,대전 서구,대전,서구,3017000000,-0.12,보통
2021-02-08 00:00,대전 서구,대전,서구,3017000000,-0.28,나쁨
2021-02-07 00:00,대전 서구,대전,서구,3017000000,-0.09,보통
2021-02-06 00:00,대전 서구,대전,서구,3017000000,-0.32,나쁨
2021-02-05 00:00,대전 서구,대전,서구,3017000000,-0.39,나쁨
2021-02-04 00:00,대전 서구,대전,서구,3017000000,-0.16,보통
2021-02-03 00:00,대전 서구,대전,서구,3017000000,-0.18,보통
2021-02-02 00:00,대전 서구,대전,서구,3017000000,-0.44,나쁨
2021-02-01 00:00,대전 서구,대전,서구,3017000000,-0.49,나쁨
2021-01-31 00:00,대전 서구,대전,서구,3017000000,-0.43,나쁨
2021-01-30 00:00,대전 서구,대전,서구,3017000000,-0.34,나쁨
2021-01-29 00:00,대전 서구,대전,서구,3017000000,-0.44,나쁨
2021-01-28 00:00,대전 서구,대전,서구,3017000000,-1.1,나쁨
2021-01-27 00:00,대전 서구,대전,서구,3017000000,-0.33,나쁨
2021-01-26 00:00,대전 서구,대전,서구,3017000000,-0.74,나쁨
2021-01-25 00:00,대전 서구,대전,서구,3017000000,-0.26,나쁨
2021-01-24 00:00,대전 서구,대전,서구,3017000000,-0.26,나쁨
2021-01-23 00:00,대전 서구,대전,서구,3017000000,-0.53,나쁨
2021-01-22 00:00,대전 서구,대전,서구,3017000000,-0.5,나쁨
2021-01-21 00:00,대전 서구,대전,서구,3017000000,-0.35,나쁨
