"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20140101 ~ 20141231"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 수유동","230-7","230","7","효성 인텔리안 오피스텔","29.32","201405","22","10,500","17","2005","도봉로 313",""
"서울특별시 강북구 수유동","230-7","230","7","효성 인텔리안 오피스텔","30.49","201405","28","11,000","20","2005","도봉로 313",""
"서울특별시 강북구 수유동","230-7","230","7","효성 인텔리안 오피스텔","30.19","201406","5","10,800","8","2005","도봉로 313",""
"서울특별시 강북구 수유동","230-7","230","7","효성 인텔리안 오피스텔","29.32","201406","9","10,700","16","2005","도봉로 313",""
"서울특별시 강북구 수유동","230-7","230","7","효성 인텔리안 오피스텔","34.95","201407","8","11,500","14","2005","도봉로 313",""
"서울특별시 강북구 수유동","230-7","230","7","효성 인텔리안 오피스텔","30.49","201407","10","11,000","17","2005","도봉로 313",""
"서울특별시 강북구 수유동","230-7","230","7","효성 인텔리안 오피스텔","34.13","201408","26","11,790","5","2005","도봉로 313",""
"서울특별시 강북구 수유동","230-7","230","7","효성 인텔리안 오피스텔","29.32","201409","1","10,400","4","2005","도봉로 313",""
"서울특별시 강북구 수유동","230-7","230","7","효성 인텔리안 오피스텔","30.49","201410","3","11,000","17","2005","도봉로 313",""
"서울특별시 강북구 수유동","230-7","230","7","효성 인텔리안 오피스텔","30.49","201411","20","10,500","19","2005","도봉로 313",""
"서울특별시 강북구 수유동","230-7","230","7","효성 인텔리안 오피스텔","30.19","201412","16","10,300","4","2005","도봉로 313",""
