areaCode,areaNm,baseYmd,daywkDivCd,daywkDivNm,touDivCd,touDivNm,touNum
46,전라남도,20210426,1,월요일,3,외국인(c),1018.324542
47,경상북도,20210426,1,월요일,1,현지인(a),1349628
47,경상북도,20210426,1,월요일,2,외지인(b),369313
47,경상북도,20210426,1,월요일,3,외국인(c),2548.582625
48,경상남도,20210426,1,월요일,1,현지인(a),1499428
48,경상남도,20210426,1,월요일,2,외지인(b),330137.5
48,경상남도,20210426,1,월요일,3,외국인(c),1488.221363
50,제주특별자치도,20210426,1,월요일,1,현지인(a),525175
50,제주특별자치도,20210426,1,월요일,2,외지인(b),184117.5
50,제주특별자치도,20210426,1,월요일,3,외국인(c),1246.437062
11,서울특별시,20210427,2,화요일,1,현지인(a),4462423
11,서울특별시,20210427,2,화요일,2,외지인(b),1304390.5
11,서울특별시,20210427,2,화요일,3,외국인(c),3523.391556
26,부산광역시,20210427,2,화요일,1,현지인(a),1321288.5
26,부산광역시,20210427,2,화요일,2,외지인(b),298133.5
26,부산광역시,20210427,2,화요일,3,외국인(c),2111.306215
27,대구광역시,20210427,2,화요일,1,현지인(a),1132698
27,대구광역시,20210427,2,화요일,2,외지인(b),217196
27,대구광역시,20210427,2,화요일,3,외국인(c),269.8446628
28,인천광역시,20210427,2,화요일,1,현지인(a),1178947
28,인천광역시,20210427,2,화요일,2,외지인(b),341236
28,인천광역시,20210427,2,화요일,3,외국인(c),2788.355056
29,광주광역시,20210427,2,화요일,1,현지인(a),749434
29,광주광역시,20210427,2,화요일,2,외지인(b),135495.5
29,광주광역시,20210427,2,화요일,3,외국인(c),203.5447917
30,대전광역시,20210427,2,화요일,1,현지인(a),692251
30,대전광역시,20210427,2,화요일,2,외지인(b),163040.5
30,대전광역시,20210427,2,화요일,3,외국인(c),214.9777556
31,울산광역시,20210427,2,화요일,1,현지인(a),474054
31,울산광역시,20210427,2,화요일,2,외지인(b),103138
31,울산광역시,20210427,2,화요일,3,외국인(c),1003.345399
36,세종특별자치시,20210427,2,화요일,1,현지인(a),140504
36,세종특별자치시,20210427,2,화요일,2,외지인(b),64263.5
36,세종특별자치시,20210427,2,화요일,3,외국인(c),70.28820253
41,경기도,20210427,2,화요일,1,현지인(a),5819719.5
41,경기도,20210427,2,화요일,2,외지인(b),1440827.5
41,경기도,20210427,2,화요일,3,외국인(c),6518.343482
42,강원도,20210427,2,화요일,1,현지인(a),971705
42,강원도,20210427,2,화요일,2,외지인(b),275607.5
42,강원도,20210427,2,화요일,3,외국인(c),257.921843
43,충청북도,20210427,2,화요일,1,현지인(a),748090
43,충청북도,20210427,2,화요일,2,외지인(b),233464
43,충청북도,20210427,2,화요일,3,외국인(c),453.5610148
44,충청남도,20210427,2,화요일,1,현지인(a),1020915
44,충청남도,20210427,2,화요일,2,외지인(b),337242.5
44,충청남도,20210427,2,화요일,3,외국인(c),578.6962672
45,전라북도,20210427,2,화요일,1,현지인(a),976220
45,전라북도,20210427,2,화요일,2,외지인(b),183655.5
45,전라북도,20210427,2,화요일,3,외국인(c),328.567
46,전라남도,20210427,2,화요일,1,현지인(a),914322.5
46,전라남도,20210427,2,화요일,2,외지인(b),265940.5
46,전라남도,20210427,2,화요일,3,외국인(c),1143.443172
47,경상북도,20210427,2,화요일,1,현지인(a),1351262.5
47,경상북도,20210427,2,화요일,2,외지인(b),365942.5
47,경상북도,20210427,2,화요일,3,외국인(c),3441.110466
48,경상남도,20210427,2,화요일,1,현지인(a),1489831
48,경상남도,20210427,2,화요일,2,외지인(b),330830.5
48,경상남도,20210427,2,화요일,3,외국인(c),1449.214741
50,제주특별자치도,20210427,2,화요일,1,현지인(a),525437.5
50,제주특별자치도,20210427,2,화요일,2,외지인(b),173428.5
50,제주특별자치도,20210427,2,화요일,3,외국인(c),1042.590157
27,대구광역시,20210428,3,수요일,3,외국인(c),260.1273705
28,인천광역시,20210428,3,수요일,1,현지인(a),1193020.5
28,인천광역시,20210428,3,수요일,2,외지인(b),345723
28,인천광역시,20210428,3,수요일,3,외국인(c),4935.48155
29,광주광역시,20210428,3,수요일,1,현지인(a),755702.5
29,광주광역시,20210428,3,수요일,2,외지인(b),139258
29,광주광역시,20210428,3,수요일,3,외국인(c),214.9545488
30,대전광역시,20210428,3,수요일,1,현지인(a),695443
30,대전광역시,20210428,3,수요일,2,외지인(b),167373.5
30,대전광역시,20210428,3,수요일,3,외국인(c),229.1024059
31,울산광역시,20210428,3,수요일,1,현지인(a),474764.5
31,울산광역시,20210428,3,수요일,2,외지인(b),104450.5
31,울산광역시,20210428,3,수요일,3,외국인(c),1030.894267
36,세종특별자치시,20210428,3,수요일,1,현지인(a),141225
36,세종특별자치시,20210428,3,수요일,2,외지인(b),64627.5
36,세종특별자치시,20210428,3,수요일,3,외국인(c),64.00515464
41,경기도,20210428,3,수요일,1,현지인(a),5891473
41,경기도,20210428,3,수요일,2,외지인(b),1452528
41,경기도,20210428,3,수요일,3,외국인(c),6578.631812
42,강원도,20210428,3,수요일,1,현지인(a),976374
42,강원도,20210428,3,수요일,2,외지인(b),272541.5
42,강원도,20210428,3,수요일,3,외국인(c),300.5587854
43,충청북도,20210428,3,수요일,1,현지인(a),757893.5
43,충청북도,20210428,3,수요일,2,외지인(b),232722
43,충청북도,20210428,3,수요일,3,외국인(c),450.7669018
44,충청남도,20210428,3,수요일,1,현지인(a),1029731.5
44,충청남도,20210428,3,수요일,2,외지인(b),335807.5
44,충청남도,20210428,3,수요일,3,외국인(c),682.2577087
45,전라북도,20210428,3,수요일,1,현지인(a),979804
45,전라북도,20210428,3,수요일,2,외지인(b),183830.5
45,전라북도,20210428,3,수요일,3,외국인(c),332.9643934
46,전라남도,20210428,3,수요일,1,현지인(a),918666
46,전라남도,20210428,3,수요일,2,외지인(b),267400
46,전라남도,20210428,3,수요일,3,외국인(c),1027.80419
47,경상북도,20210428,3,수요일,1,현지인(a),1353614.5
47,경상북도,20210428,3,수요일,2,외지인(b),367020.5
47,경상북도,20210428,3,수요일,3,외국인(c),2583.585692
48,경상남도,20210428,3,수요일,1,현지인(a),1506953
48,경상남도,20210428,3,수요일,2,외지인(b),335349
48,경상남도,20210428,3,수요일,3,외국인(c),1360.974519
50,제주특별자치도,20210428,3,수요일,1,현지인(a),530110
50,제주특별자치도,20210428,3,수요일,2,외지인(b),169477
50,제주특별자치도,20210428,3,수요일,3,외국인(c),1106.68899
11,서울특별시,20210428,3,수요일,1,현지인(a),4515126
11,서울특별시,20210428,3,수요일,2,외지인(b),1336366.5
11,서울특별시,20210428,3,수요일,3,외국인(c),3485.353762
26,부산광역시,20210428,3,수요일,1,현지인(a),1333010
26,부산광역시,20210428,3,수요일,2,외지인(b),303131.5
26,부산광역시,20210428,3,수요일,3,외국인(c),2089.64921
27,대구광역시,20210428,3,수요일,1,현지인(a),1145903.5
27,대구광역시,20210428,3,수요일,2,외지인(b),223482
11,서울특별시,20210429,4,목요일,1,현지인(a),4492117
11,서울특별시,20210429,4,목요일,2,외지인(b),1369683
11,서울특별시,20210429,4,목요일,3,외국인(c),3606.435332
26,부산광역시,20210429,4,목요일,1,현지인(a),1332198
26,부산광역시,20210429,4,목요일,2,외지인(b),314688.5
26,부산광역시,20210429,4,목요일,3,외국인(c),2554.977503
27,대구광역시,20210429,4,목요일,1,현지인(a),1143786
27,대구광역시,20210429,4,목요일,2,외지인(b),229257
27,대구광역시,20210429,4,목요일,3,외국인(c),256.2177613
28,인천광역시,20210429,4,목요일,1,현지인(a),1188393.5
28,인천광역시,20210429,4,목요일,2,외지인(b),352926
28,인천광역시,20210429,4,목요일,3,외국인(c),3334.589982
29,광주광역시,20210429,4,목요일,1,현지인(a),752689
29,광주광역시,20210429,4,목요일,2,외지인(b),143776.5
29,광주광역시,20210429,4,목요일,3,외국인(c),178.3060148
30,대전광역시,20210429,4,목요일,1,현지인(a),693924
30,대전광역시,20210429,4,목요일,2,외지인(b),170954
30,대전광역시,20210429,4,목요일,3,외국인(c),215.4635823
31,울산광역시,20210429,4,목요일,1,현지인(a),473312
31,울산광역시,20210429,4,목요일,2,외지인(b),106911
31,울산광역시,20210429,4,목요일,3,외국인(c),1061.750759
36,세종특별자치시,20210429,4,목요일,1,현지인(a),140668.5
36,세종특별자치시,20210429,4,목요일,2,외지인(b),67235
36,세종특별자치시,20210429,4,목요일,3,외국인(c),68.48993213
41,경기도,20210429,4,목요일,1,현지인(a),5869038
41,경기도,20210429,4,목요일,2,외지인(b),1498931
41,경기도,20210429,4,목요일,3,외국인(c),6347.672739
42,강원도,20210429,4,목요일,1,현지인(a),968201.5
42,강원도,20210429,4,목요일,2,외지인(b),279545
42,강원도,20210429,4,목요일,3,외국인(c),229.8724063
43,충청북도,20210429,4,목요일,1,현지인(a),749413
43,충청북도,20210429,4,목요일,2,외지인(b),242774
43,충청북도,20210429,4,목요일,3,외국인(c),448.3823885
44,충청남도,20210429,4,목요일,1,현지인(a),1023130.5
44,충청남도,20210429,4,목요일,2,외지인(b),348463.5
44,충청남도,20210429,4,목요일,3,외국인(c),667.6183978
45,전라북도,20210429,4,목요일,1,현지인(a),979422.5
45,전라북도,20210429,4,목요일,2,외지인(b),192888.5
45,전라북도,20210429,4,목요일,3,외국인(c),322.6569602
46,전라남도,20210429,4,목요일,1,현지인(a),919023
46,전라남도,20210429,4,목요일,2,외지인(b),276552.5
46,전라남도,20210429,4,목요일,3,외국인(c),1161.12957
47,경상북도,20210429,4,목요일,1,현지인(a),1352575
47,경상북도,20210429,4,목요일,2,외지인(b),373138.5
47,경상북도,20210429,4,목요일,3,외국인(c),2792.659163
48,경상남도,20210429,4,목요일,1,현지인(a),1500247
48,경상남도,20210429,4,목요일,2,외지인(b),347259.5
48,경상남도,20210429,4,목요일,3,외국인(c),1610.307201
50,제주특별자치도,20210429,4,목요일,1,현지인(a),529760
50,제주특별자치도,20210429,4,목요일,2,외지인(b),175483
50,제주특별자치도,20210429,4,목요일,3,외국인(c),1143.382903
11,서울특별시,20210430,5,금요일,1,현지인(a),4536574
11,서울특별시,20210430,5,금요일,2,외지인(b),1490986
11,서울특별시,20210430,5,금요일,3,외국인(c),3670.079193
26,부산광역시,20210430,5,금요일,1,현지인(a),1355336.5
26,부산광역시,20210430,5,금요일,2,외지인(b),363716.5
26,부산광역시,20210430,5,금요일,3,외국인(c),2065.061031
27,대구광역시,20210430,5,금요일,1,현지인(a),1172993.5
27,대구광역시,20210430,5,금요일,2,외지인(b),275268
27,대구광역시,20210430,5,금요일,3,외국인(c),248.9579534
28,인천광역시,20210430,5,금요일,1,현지인(a),1207108
28,인천광역시,20210430,5,금요일,2,외지인(b),390701.5
28,인천광역시,20210430,5,금요일,3,외국인(c),3245.669609
29,광주광역시,20210430,5,금요일,1,현지인(a),767655
29,광주광역시,20210430,5,금요일,2,외지인(b),171010
29,광주광역시,20210430,5,금요일,3,외국인(c),193.5965405
30,대전광역시,20210430,5,금요일,1,현지인(a),706541.5
48,경상남도,20210430,5,금요일,1,현지인(a),1535947
48,경상남도,20210430,5,금요일,2,외지인(b),408632
48,경상남도,20210430,5,금요일,3,외국인(c),1436.694704
50,제주특별자치도,20210430,5,금요일,1,현지인(a),536602.5
50,제주특별자치도,20210430,5,금요일,2,외지인(b),183281
50,제주특별자치도,20210430,5,금요일,3,외국인(c),1568.609111
30,대전광역시,20210430,5,금요일,2,외지인(b),201075
30,대전광역시,20210430,5,금요일,3,외국인(c),217.8605886
31,울산광역시,20210430,5,금요일,1,현지인(a),477827
31,울산광역시,20210430,5,금요일,2,외지인(b),120673
31,울산광역시,20210430,5,금요일,3,외국인(c),1145.636441
36,세종특별자치시,20210430,5,금요일,1,현지인(a),144123
36,세종특별자치시,20210430,5,금요일,2,외지인(b),77108.5
36,세종특별자치시,20210430,5,금요일,3,외국인(c),71.91599553
41,경기도,20210430,5,금요일,1,현지인(a),5943658
41,경기도,20210430,5,금요일,2,외지인(b),1623744.5
41,경기도,20210430,5,금요일,3,외국인(c),6514.963817
42,강원도,20210430,5,금요일,1,현지인(a),976755.5
42,강원도,20210430,5,금요일,2,외지인(b),350735
42,강원도,20210430,5,금요일,3,외국인(c),258.9678919
43,충청북도,20210430,5,금요일,1,현지인(a),760816
43,충청북도,20210430,5,금요일,2,외지인(b),280833
43,충청북도,20210430,5,금요일,3,외국인(c),443.8893335
44,충청남도,20210430,5,금요일,1,현지인(a),1032794
44,충청남도,20210430,5,금요일,2,외지인(b),411043.5
44,충청남도,20210430,5,금요일,3,외국인(c),692.4349508
45,전라북도,20210430,5,금요일,1,현지인(a),994273
45,전라북도,20210430,5,금요일,2,외지인(b),239620.5
45,전라북도,20210430,5,금요일,3,외국인(c),444.2097555
46,전라남도,20210430,5,금요일,1,현지인(a),932536.5
46,전라남도,20210430,5,금요일,2,외지인(b),319553.5
46,전라남도,20210430,5,금요일,3,외국인(c),1382.122594
47,경상북도,20210430,5,금요일,1,현지인(a),1373438.5
47,경상북도,20210430,5,금요일,2,외지인(b),447678
47,경상북도,20210430,5,금요일,3,외국인(c),2450.64542
